,Question,History2,Rewrite
93,"Wow. Besides these values, what other factors could cause stigmatization?","How are mental health disorders perceived and addressed around the world? | What are the causes of mental health stigma in Africa? | Could you expand on some of these Southeast African traditional and cultural methods of dealing with mental health issues? | How effective are traditional African methods for treating mental health issues and could they be combined with Western medicine? | Okay. Now, what about the causes of mental health stigma in Asia? | Is there a relationship between Asian cultural values and mental illness?","Wow. Besides Asian cultural values, what other factors could cause stigmatization of mental illness in the region of Asia?"
94,What about the causes in North America?,"How are mental health disorders perceived and addressed around the world? | What are the causes of mental health stigma in Africa? | Could you expand on some of these Southeast African traditional and cultural methods of dealing with mental health issues? | How effective are traditional African methods for treating mental health issues and could they be combined with Western medicine? | Okay. Now, what about the causes of mental health stigma in Asia? | Is there a relationship between Asian cultural values and mental illness? | Wow. Besides Asian cultural values, what other factors could cause stigmatization of mental illness in the region of Asia?",What about the causes of mental health stigmatisation in North America?
95,Hmm. What has the Alliance done to help?,"How are mental health disorders perceived and addressed around the world? | What are the causes of mental health stigma in Africa? | Could you expand on some of these Southeast African traditional and cultural methods of dealing with mental health issues? | How effective are traditional African methods for treating mental health issues and could they be combined with Western medicine? | Okay. Now, what about the causes of mental health stigma in Asia? | Is there a relationship between Asian cultural values and mental illness? | Wow. Besides Asian cultural values, what other factors could cause stigmatization of mental illness in the region of Asia? | What about the causes of mental health stigmatisation in North America?",Hmm. What has the National Alliance on Mental Illness done to help people with mental illness in America?
96,I found the Indian student's approach to treating depression interesting. Have their approaches been tried elsewhere?,"How are mental health disorders perceived and addressed around the world? | What are the causes of mental health stigma in Africa? | Could you expand on some of these Southeast African traditional and cultural methods of dealing with mental health issues? | How effective are traditional African methods for treating mental health issues and could they be combined with Western medicine? | Okay. Now, what about the causes of mental health stigma in Asia? | Is there a relationship between Asian cultural values and mental illness? | Wow. Besides Asian cultural values, what other factors could cause stigmatization of mental illness in the region of Asia? | What about the causes of mental health stigmatisation in North America? | Hmm. What has the National Alliance on Mental Illness done to help people with mental illness in America?",I found the Indian student's approach to treating depression through social support and spiritual reflection or relaxation interesting. Have their approaches been tried elsewhere?
97,Can you tell me more about Chibanda's approach? How effective has it been?,"How are mental health disorders perceived and addressed around the world? | What are the causes of mental health stigma in Africa? | Could you expand on some of these Southeast African traditional and cultural methods of dealing with mental health issues? | How effective are traditional African methods for treating mental health issues and could they be combined with Western medicine? | Okay. Now, what about the causes of mental health stigma in Asia? | Is there a relationship between Asian cultural values and mental illness? | Wow. Besides Asian cultural values, what other factors could cause stigmatization of mental illness in the region of Asia? | What about the causes of mental health stigmatisation in North America? | Hmm. What has the National Alliance on Mental Illness done to help people with mental illness in America? | I found the Indian student's approach to treating depression through social support and spiritual reflection or relaxation interesting. Have their approaches been tried elsewhere?",Can you tell me more about Chibanda's approach to treating mental illness? How effective has it been?
98,How are literary devices used in Biblical poetry?,,How are literary devices used in Biblical poetry?
99,That's interesting. How is it defined?,How are literary devices used in Biblical poetry?,That's interesting. How is Christian poetry defined?
100,How did those traditions affect them?,How are literary devices used in Biblical poetry? | That's interesting. How is Christian poetry defined?,How did the existing traditions of Greek and Latin poetry affect Christian Poets?
101,That's interesting about Christianity. How are devices used in Islamic ones?,How are literary devices used in Biblical poetry? | That's interesting. How is Christian poetry defined? | How did the existing traditions of Greek and Latin poetry affect Christian Poets?,That's interesting about Christianity. How are literary devices used in Islamic poetry?
102,Okay. How does the use of rhyme in Biblical poetry compare?,How are literary devices used in Biblical poetry? | That's interesting. How is Christian poetry defined? | How did the existing traditions of Greek and Latin poetry affect Christian Poets? | That's interesting about Christianity. How are literary devices used in Islamic poetry?,Okay. How does the use of rhyme in Biblical poetry compare to the use of rhyme in Islamic poetry?
103,Why didn't it use rhymes as much?,How are literary devices used in Biblical poetry? | That's interesting. How is Christian poetry defined? | How did the existing traditions of Greek and Latin poetry affect Christian Poets? | That's interesting about Christianity. How are literary devices used in Islamic poetry? | Okay. How does the use of rhyme in Biblical poetry compare to the use of rhyme in Islamic poetry?,Why didn't Biblical poetry use rhymes as extensively as Arabic?
104,"Ahh, it seems like rhyming and parallelism share similar functions. How did both types of poetry influence other kinds of poetry?",How are literary devices used in Biblical poetry? | That's interesting. How is Christian poetry defined? | How did the existing traditions of Greek and Latin poetry affect Christian Poets? | That's interesting about Christianity. How are literary devices used in Islamic poetry? | Okay. How does the use of rhyme in Biblical poetry compare to the use of rhyme in Islamic poetry? | Why didn't Biblical poetry use rhymes as extensively as Arabic?,"Ahh, it seems like rhyming and parallelism share similar functions. How did Islamic and Biblical poetry influence other kinds of poetry?"
105,Did Biblical poetry have a similar impact?,"How are literary devices used in Biblical poetry? | That's interesting. How is Christian poetry defined? | How did the existing traditions of Greek and Latin poetry affect Christian Poets? | That's interesting about Christianity. How are literary devices used in Islamic poetry? | Okay. How does the use of rhyme in Biblical poetry compare to the use of rhyme in Islamic poetry? | Why didn't Biblical poetry use rhymes as extensively as Arabic? | Ahh, it seems like rhyming and parallelism share similar functions. How did Islamic and Biblical poetry influence other kinds of poetry?",Did Biblical poetry have a similar impact on other kinds of religious poetry?
106,A friend said there were massive protests in Nigeria towards the end of 2020. What happened?,,A friend said there were massive protests in Nigeria towards the end of 2020. What happened?
107,Why was the Squad established in the first place?,A friend said there were massive protests in Nigeria towards the end of 2020. What happened?,Why was the Special Anti-Robbery Squad (SARS) established in the first place?
108,What's an example of those reasons?,A friend said there were massive protests in Nigeria towards the end of 2020. What happened? | Why was the Special Anti-Robbery Squad (SARS) established in the first place?,What's an example of the reasons why (Special Anti-Robbery Squad) SARS officers detain people?
109,How did the international community respond?,A friend said there were massive protests in Nigeria towards the end of 2020. What happened? | Why was the Special Anti-Robbery Squad (SARS) established in the first place? | What's an example of the reasons why (Special Anti-Robbery Squad) SARS officers detain people?,How did the international community respond to the EndSars protests in Nigeria?
110,"Okay, but I meant their response to the EndSars protests.",A friend said there were massive protests in Nigeria towards the end of 2020. What happened? | Why was the Special Anti-Robbery Squad (SARS) established in the first place? | What's an example of the reasons why (Special Anti-Robbery Squad) SARS officers detain people? | How did the international community respond to the EndSars protests in Nigeria?,"Okay, but I meant the international community's response to the EndSars protests."
111,Did that help?,"A friend said there were massive protests in Nigeria towards the end of 2020. What happened? | Why was the Special Anti-Robbery Squad (SARS) established in the first place? | What's an example of the reasons why (Special Anti-Robbery Squad) SARS officers detain people? | How did the international community respond to the EndSars protests in Nigeria? | Okay, but I meant the international community's response to the EndSars protests.",Did international support from the US help with the EndSars movement?
112,My friend also mentioned that women were instrumental to the movement. What was their role?,"A friend said there were massive protests in Nigeria towards the end of 2020. What happened? | Why was the Special Anti-Robbery Squad (SARS) established in the first place? | What's an example of the reasons why (Special Anti-Robbery Squad) SARS officers detain people? | How did the international community respond to the EndSars protests in Nigeria? | Okay, but I meant the international community's response to the EndSars protests. | Did international support from the US help with the EndSars movement?",My friend also mentioned that women were instrumental to the EndSars movement. What was their role?
113,That's cool. Tell me more about them.,"A friend said there were massive protests in Nigeria towards the end of 2020. What happened? | Why was the Special Anti-Robbery Squad (SARS) established in the first place? | What's an example of the reasons why (Special Anti-Robbery Squad) SARS officers detain people? | How did the international community respond to the EndSars protests in Nigeria? | Okay, but I meant the international community's response to the EndSars protests. | Did international support from the US help with the EndSars movement? | My friend also mentioned that women were instrumental to the EndSars movement. What was their role?",That's cool. Tell me more about the Feminist Coalition.
114,There was mention of the protection of Black lives earlier. How is it related to this movement?,"A friend said there were massive protests in Nigeria towards the end of 2020. What happened? | Why was the Special Anti-Robbery Squad (SARS) established in the first place? | What's an example of the reasons why (Special Anti-Robbery Squad) SARS officers detain people? | How did the international community respond to the EndSars protests in Nigeria? | Okay, but I meant the international community's response to the EndSars protests. | Did international support from the US help with the EndSars movement? | My friend also mentioned that women were instrumental to the EndSars movement. What was their role? | That's cool. Tell me more about the Feminist Coalition.",There was mention of the protection of Black lives earlier. How are they related?
115,What role did women play in that?,"A friend said there were massive protests in Nigeria towards the end of 2020. What happened? | Why was the Special Anti-Robbery Squad (SARS) established in the first place? | What's an example of the reasons why (Special Anti-Robbery Squad) SARS officers detain people? | How did the international community respond to the EndSars protests in Nigeria? | Okay, but I meant the international community's response to the EndSars protests. | Did international support from the US help with the EndSars movement? | My friend also mentioned that women were instrumental to the EndSars movement. What was their role? | That's cool. Tell me more about the Feminist Coalition. | There was mention of the protection of Black lives earlier. How are they related?",What role did women play in the BlackLivesMatter protests?
116,I like fashion and animals. What career options should I consider?,,I like fashion and animals. What career options should I consider?
117,Becoming a fashion designer sounds interesting. What's the job outlook?,I like fashion and animals. What career options should I consider?,Becoming a fashion designer sounds interesting. What's the job outlook?
118,How can I get a degree in it?,I like fashion and animals. What career options should I consider? | Becoming a fashion designer sounds interesting. What's the job outlook?,How can I get a fashion design degree?
119,Okay. What does the portfolio usually consist of?,I like fashion and animals. What career options should I consider? | Becoming a fashion designer sounds interesting. What's the job outlook? | How can I get a fashion design degree?,Okay. What does the Bachelor of Fine Arts degree in fashion portfolio usually consist of?
120,What are the common entry requirements for the degree?,I like fashion and animals. What career options should I consider? | Becoming a fashion designer sounds interesting. What's the job outlook? | How can I get a fashion design degree? | Okay. What does the Bachelor of Fine Arts degree in fashion portfolio usually consist of?,What are the common entry requirements for a Bachelor of Fine Arts program?
121,I’ll consider those. How about my options for my other interest?,I like fashion and animals. What career options should I consider? | Becoming a fashion designer sounds interesting. What's the job outlook? | How can I get a fashion design degree? | Okay. What does the Bachelor of Fine Arts degree in fashion portfolio usually consist of? | What are the common entry requirements for a Bachelor of Fine Arts program?,I’ll consider those. How about my career options for my other interest in animals?
122,Not quite. I want to know about career opportunities related to animals.,I like fashion and animals. What career options should I consider? | Becoming a fashion designer sounds interesting. What's the job outlook? | How can I get a fashion design degree? | Okay. What does the Bachelor of Fine Arts degree in fashion portfolio usually consist of? | What are the common entry requirements for a Bachelor of Fine Arts program? | I’ll consider those. How about my career options for my other interest in animals?,Not quite. I want to know about career opportunities related to animals.
123,How do I become a vet?,I like fashion and animals. What career options should I consider? | Becoming a fashion designer sounds interesting. What's the job outlook? | How can I get a fashion design degree? | Okay. What does the Bachelor of Fine Arts degree in fashion portfolio usually consist of? | What are the common entry requirements for a Bachelor of Fine Arts program? | I’ll consider those. How about my career options for my other interest in animals? | Not quite. I want to know about career opportunities related to animals.,How do I become a veterinarian?
124,What are the other steps?,I like fashion and animals. What career options should I consider? | Becoming a fashion designer sounds interesting. What's the job outlook? | How can I get a fashion design degree? | Okay. What does the Bachelor of Fine Arts degree in fashion portfolio usually consist of? | What are the common entry requirements for a Bachelor of Fine Arts program? | I’ll consider those. How about my career options for my other interest in animals? | Not quite. I want to know about career opportunities related to animals. | How do I become a veterinarian?,What are the other steps to become a veterinarian?
125,I understand that licenses are required. Tell me more about that.,I like fashion and animals. What career options should I consider? | Becoming a fashion designer sounds interesting. What's the job outlook? | How can I get a fashion design degree? | Okay. What does the Bachelor of Fine Arts degree in fashion portfolio usually consist of? | What are the common entry requirements for a Bachelor of Fine Arts program? | I’ll consider those. How about my career options for my other interest in animals? | Not quite. I want to know about career opportunities related to animals. | How do I become a veterinarian? | What are the other steps to become a veterinarian?,I understand that licenses are required to work as a veterinarian in the US. Tell me more about that.
126,What about a way to combine both of my interests?,I like fashion and animals. What career options should I consider? | Becoming a fashion designer sounds interesting. What's the job outlook? | How can I get a fashion design degree? | Okay. What does the Bachelor of Fine Arts degree in fashion portfolio usually consist of? | What are the common entry requirements for a Bachelor of Fine Arts program? | I’ll consider those. How about my career options for my other interest in animals? | Not quite. I want to know about career opportunities related to animals. | How do I become a veterinarian? | What are the other steps to become a veterinarian? | I understand that licenses are required to work as a veterinarian in the US. Tell me more about that.,What about a way to combine my interests in fashion and animals?
127,My dog has been shaking and tilting its head a lot recently. What could be wrong?,,My dog has been shaking and tilting its head a lot recently. What could be wrong?
128,I just checked and there’s swelling in the outer portion. What could it be?,My dog has been shaking and tilting its head a lot recently. What could be wrong?,I just checked my dog’s ears and there’s swelling in the outer portion. What could it be a symptom of?
129,How dangerous could these be?,My dog has been shaking and tilting its head a lot recently. What could be wrong? | I just checked my dog’s ears and there’s swelling in the outer portion. What could it be a symptom of?,How dangerous could the inflammation or canine ear hematoma in my dog’s ears be?
130,I live in a remote area. How can I treat it at home?,My dog has been shaking and tilting its head a lot recently. What could be wrong? | I just checked my dog’s ears and there’s swelling in the outer portion. What could it be a symptom of? | How dangerous could the inflammation or canine ear hematoma in my dog’s ears be?,I live in a remote area. How can I treat my dog’s ear infection at home?
131,My cat is also having similar symptoms. Would that work for her as well?,My dog has been shaking and tilting its head a lot recently. What could be wrong? | I just checked my dog’s ears and there’s swelling in the outer portion. What could it be a symptom of? | How dangerous could the inflammation or canine ear hematoma in my dog’s ears be? | I live in a remote area. How can I treat my dog’s ear infection at home?,My cat is also having similar symptoms to my dog. Would the home remedy work for her as well?
132,Thanks. I am also worried that they are susceptible to the coronavirus.,My dog has been shaking and tilting its head a lot recently. What could be wrong? | I just checked my dog’s ears and there’s swelling in the outer portion. What could it be a symptom of? | How dangerous could the inflammation or canine ear hematoma in my dog’s ears be? | I live in a remote area. How can I treat my dog’s ear infection at home? | My cat is also having similar symptoms to my dog. Would the home remedy work for her as well?,Thanks. I am also worried that my pets are susceptible to the coronavirus.
133,"Okay, but I also heard that a few have been reported to be infected.",My dog has been shaking and tilting its head a lot recently. What could be wrong? | I just checked my dog’s ears and there’s swelling in the outer portion. What could it be a symptom of? | How dangerous could the inflammation or canine ear hematoma in my dog’s ears be? | I live in a remote area. How can I treat my dog’s ear infection at home? | My cat is also having similar symptoms to my dog. Would the home remedy work for her as well? | Thanks. I am also worried that my pets are susceptible to the coronavirus.,"Okay, but I also heard that a few animals have been reported to be infected with the coronavirus."
134,How can I protect them?,"My dog has been shaking and tilting its head a lot recently. What could be wrong? | I just checked my dog’s ears and there’s swelling in the outer portion. What could it be a symptom of? | How dangerous could the inflammation or canine ear hematoma in my dog’s ears be? | I live in a remote area. How can I treat my dog’s ear infection at home? | My cat is also having similar symptoms to my dog. Would the home remedy work for her as well? | Thanks. I am also worried that my pets are susceptible to the coronavirus. | Okay, but I also heard that a few animals have been reported to be infected with the coronavirus.",How can I protect my pets from the coronavirus?
135,Ok. But what about my dog?,"My dog has been shaking and tilting its head a lot recently. What could be wrong? | I just checked my dog’s ears and there’s swelling in the outer portion. What could it be a symptom of? | How dangerous could the inflammation or canine ear hematoma in my dog’s ears be? | I live in a remote area. How can I treat my dog’s ear infection at home? | My cat is also having similar symptoms to my dog. Would the home remedy work for her as well? | Thanks. I am also worried that my pets are susceptible to the coronavirus. | Okay, but I also heard that a few animals have been reported to be infected with the coronavirus. | How can I protect my pets from the coronavirus?",Ok. But what about protecting my dog from the coronavirus?
136,Why did Michael Jackson go so far to alter his appearance?,,Why did Michael Jackson go so far to alter his appearance?
137,What else was it about?,Why did Michael Jackson go so far to alter his appearance?,What else was Michael Jackson’s vexed relationship to his skin about?
138,Okay. Did the diet help?,Why did Michael Jackson go so far to alter his appearance? | What else was Michael Jackson’s vexed relationship to his skin about?,Okay. Did the Jacksons vegetarian diet help to fight their acne?
139,Never mind. Tell me more about the Pepsi commercial.,Why did Michael Jackson go so far to alter his appearance? | What else was Michael Jackson’s vexed relationship to his skin about? | Okay. Did the Jacksons vegetarian diet help to fight their acne?,Never mind. Tell me more about the Pepsi commercial where Michael Jackson burned his skin.
140,How so?,Why did Michael Jackson go so far to alter his appearance? | What else was Michael Jackson’s vexed relationship to his skin about? | Okay. Did the Jacksons vegetarian diet help to fight their acne? | Never mind. Tell me more about the Pepsi commercial where Michael Jackson burned his skin.,How did Michael Jackson’s dependence on medicine lead to his death?
141,Okay. How did it affect his art and legacy?,Why did Michael Jackson go so far to alter his appearance? | What else was Michael Jackson’s vexed relationship to his skin about? | Okay. Did the Jacksons vegetarian diet help to fight their acne? | Never mind. Tell me more about the Pepsi commercial where Michael Jackson burned his skin. | How did Michael Jackson’s dependence on medicine lead to his death?,Okay. How did Michael Jackson’s skin conditions affect his art and legacy?
142,I remember there was a global coffee shortage some time ago. Can you tell me more about that?,,I remember there was a global coffee shortage some time ago. Can you tell me more about that?
143,What caused the drought?,I remember there was a global coffee shortage some time ago. Can you tell me more about that?,What caused the drought in Brazil’s coffee belt region?
144,I also heard that other Latin American countries had coffee production issues. Was the disruption widespread?,I remember there was a global coffee shortage some time ago. Can you tell me more about that? | What caused the drought in Brazil’s coffee belt region?,I also heard that other Latin American countries had coffee production issues. Was the disruption due to the drought widespread?
145,It sounds like they are not related. What are its origins? And how did it spread?,I remember there was a global coffee shortage some time ago. Can you tell me more about that? | What caused the drought in Brazil’s coffee belt region? | I also heard that other Latin American countries had coffee production issues. Was the disruption due to the drought widespread?,It sounds like the reduction in coffee production in Latin America and the drought in Brazil are not related. What are the origins of coffee rust? And how did it spread?
146,Okay. The US government tried to help the situation. What did they do to help?,I remember there was a global coffee shortage some time ago. Can you tell me more about that? | What caused the drought in Brazil’s coffee belt region? | I also heard that other Latin American countries had coffee production issues. Was the disruption due to the drought widespread? | It sounds like the reduction in coffee production in Latin America and the drought in Brazil are not related. What are the origins of coffee rust? And how did it spread?,Okay. The US government tried to help eliminate the fungus in order to prevent the economic situation of Latin American countries from deteriorating. What did they do to help?
147,"No, I want to know what they did to help with the coffee rust epidemic in Latin America.",I remember there was a global coffee shortage some time ago. Can you tell me more about that? | What caused the drought in Brazil’s coffee belt region? | I also heard that other Latin American countries had coffee production issues. Was the disruption due to the drought widespread? | It sounds like the reduction in coffee production in Latin America and the drought in Brazil are not related. What are the origins of coffee rust? And how did it spread? | Okay. The US government tried to help eliminate the fungus in order to prevent the economic situation of Latin American countries from deteriorating. What did they do to help?,"No, I want to know what the United States did to help with the coffee rust epidemic in Latin America."
148,Okay. What did big coffee companies do? How did they try to help?,"I remember there was a global coffee shortage some time ago. Can you tell me more about that? | What caused the drought in Brazil’s coffee belt region? | I also heard that other Latin American countries had coffee production issues. Was the disruption due to the drought widespread? | It sounds like the reduction in coffee production in Latin America and the drought in Brazil are not related. What are the origins of coffee rust? And how did it spread? | Okay. The US government tried to help eliminate the fungus in order to prevent the economic situation of Latin American countries from deteriorating. What did they do to help? | No, I want to know what the United States did to help with the coffee rust epidemic in Latin America.",Okay. What did big coffee companies do? How did they try to help with the coffee rust epidemic?
149,How did all these affect global consumption?,"I remember there was a global coffee shortage some time ago. Can you tell me more about that? | What caused the drought in Brazil’s coffee belt region? | I also heard that other Latin American countries had coffee production issues. Was the disruption due to the drought widespread? | It sounds like the reduction in coffee production in Latin America and the drought in Brazil are not related. What are the origins of coffee rust? And how did it spread? | Okay. The US government tried to help eliminate the fungus in order to prevent the economic situation of Latin American countries from deteriorating. What did they do to help? | No, I want to know what the United States did to help with the coffee rust epidemic in Latin America. | Okay. What did big coffee companies do? How did they try to help with the coffee rust epidemic?",How did the drought in Brazil and the coffee rust disease in Latin America affect global coffee consumption?
150,"That’s interesting, consumption is not very elastic. Would investing in it make sense?","I remember there was a global coffee shortage some time ago. Can you tell me more about that? | What caused the drought in Brazil’s coffee belt region? | I also heard that other Latin American countries had coffee production issues. Was the disruption due to the drought widespread? | It sounds like the reduction in coffee production in Latin America and the drought in Brazil are not related. What are the origins of coffee rust? And how did it spread? | Okay. The US government tried to help eliminate the fungus in order to prevent the economic situation of Latin American countries from deteriorating. What did they do to help? | No, I want to know what the United States did to help with the coffee rust epidemic in Latin America. | Okay. What did big coffee companies do? How did they try to help with the coffee rust epidemic? | How did the drought in Brazil and the coffee rust disease in Latin America affect global coffee consumption?","That’s interesting, coffee consumption is not very elastic. Would investing in coffee make sense?"
151,I heard Bernie Sanders was ill recently. What happened?,,I heard Bernie Sanders was ill recently. What happened?
152,What did the doctors do?,I heard Bernie Sanders was ill recently. What happened?,What did the doctors do to treat Bernie Sanders when he had a heart attack?
153,How did it affect the campaign?,I heard Bernie Sanders was ill recently. What happened? | What did the doctors do to treat Bernie Sanders when he had a heart attack?,How did the heart attack affect Bernie Sanders’ presidential campaign?
154,How did he attempt to regain the public's confidence?,I heard Bernie Sanders was ill recently. What happened? | What did the doctors do to treat Bernie Sanders when he had a heart attack? | How did the heart attack affect Bernie Sanders’ presidential campaign?,How did Bernie Sanders attempt to regain the public's confidence after recovering from his heart attack?
155,Okay. What did the records say?,I heard Bernie Sanders was ill recently. What happened? | What did the doctors do to treat Bernie Sanders when he had a heart attack? | How did the heart attack affect Bernie Sanders’ presidential campaign? | How did Bernie Sanders attempt to regain the public's confidence after recovering from his heart attack?,Okay. What did Bernie Sanders’ health records released after his heart attack say?
156,"Okay, I'd like to know more about his decision.",I heard Bernie Sanders was ill recently. What happened? | What did the doctors do to treat Bernie Sanders when he had a heart attack? | How did the heart attack affect Bernie Sanders’ presidential campaign? | How did Bernie Sanders attempt to regain the public's confidence after recovering from his heart attack? | Okay. What did Bernie Sanders’ health records released after his heart attack say?,Okay. I'd like to know more about Bernie Sanders' decision not to release his medical records after his heart attack.
157,What about the other candidates? Did they release theirs?,I heard Bernie Sanders was ill recently. What happened? | What did the doctors do to treat Bernie Sanders when he had a heart attack? | How did the heart attack affect Bernie Sanders’ presidential campaign? | How did Bernie Sanders attempt to regain the public's confidence after recovering from his heart attack? | Okay. What did Bernie Sanders’ health records released after his heart attack say? | Okay. I'd like to know more about Bernie Sanders' decision not to release his medical records after his heart attack.,"What about the other Democratic presidential candidates, did they release their health records?"
158,Should there be an age limit on the presidency?,"I heard Bernie Sanders was ill recently. What happened? | What did the doctors do to treat Bernie Sanders when he had a heart attack? | How did the heart attack affect Bernie Sanders’ presidential campaign? | How did Bernie Sanders attempt to regain the public's confidence after recovering from his heart attack? | Okay. What did Bernie Sanders’ health records released after his heart attack say? | Okay. I'd like to know more about Bernie Sanders' decision not to release his medical records after his heart attack. | What about the other Democratic presidential candidates, did they release their health records?",Should there be an age limit on the presidency of the United States?
159,I'm about to become a dad and I want to get fit before it gets too hard. How do I get started?,,I'm about to become a dad and I want to get fit before it gets too hard. How do I get started?
160,Okay. Should I try CrossFit?,I'm about to become a dad and I want to get fit before it gets too hard. How do I get started?,Okay. Should I try CrossFit to get fit?
161,That sounds very intense but useful for me. How does it compare with just weightlifting?,I'm about to become a dad and I want to get fit before it gets too hard. How do I get started? | Okay. Should I try CrossFit to get fit?,That sounds very intense but useful to me. How does CrossFit compare with just weightlifting to get fit?
162,I would rather be safe. Do the positives outweigh the negatives?,I'm about to become a dad and I want to get fit before it gets too hard. How do I get started? | Okay. Should I try CrossFit to get fit? | That sounds very intense but useful to me. How does CrossFit compare with just weightlifting to get fit?,I would rather be safe. Do the positives of Crossfit outweigh the negatives?
163,I’ve got four weeks. What about cardio?,I'm about to become a dad and I want to get fit before it gets too hard. How do I get started? | Okay. Should I try CrossFit to get fit? | That sounds very intense but useful to me. How does CrossFit compare with just weightlifting to get fit? | I would rather be safe. Do the positives of Crossfit outweigh the negatives?,I’ve got four weeks. What about cardio for getting fit?
164,Okay. What role will diet play?,I'm about to become a dad and I want to get fit before it gets too hard. How do I get started? | Okay. Should I try CrossFit to get fit? | That sounds very intense but useful to me. How does CrossFit compare with just weightlifting to get fit? | I would rather be safe. Do the positives of Crossfit outweigh the negatives? | I’ve got four weeks. What about cardio for getting fit?,Okay. What role will diet play in getting fit?
165,What other meal frequencies can I try?,I'm about to become a dad and I want to get fit before it gets too hard. How do I get started? | Okay. Should I try CrossFit to get fit? | That sounds very intense but useful to me. How does CrossFit compare with just weightlifting to get fit? | I would rather be safe. Do the positives of Crossfit outweigh the negatives? | I’ve got four weeks. What about cardio for getting fit? | Okay. What role will diet play in getting fit?,What other meal frequencies can I try to boost my metabolism?
166,Which one’s better?,I'm about to become a dad and I want to get fit before it gets too hard. How do I get started? | Okay. Should I try CrossFit to get fit? | That sounds very intense but useful to me. How does CrossFit compare with just weightlifting to get fit? | I would rather be safe. Do the positives of Crossfit outweigh the negatives? | I’ve got four weeks. What about cardio for getting fit? | Okay. What role will diet play in getting fit? | What other meal frequencies can I try to boost my metabolism?,Which one’s better between eating six meals a day and intermittent fasting?
167,Okay. I would eventually like to spend time with my baby while working out too. Do you have any ideas for that?,I'm about to become a dad and I want to get fit before it gets too hard. How do I get started? | Okay. Should I try CrossFit to get fit? | That sounds very intense but useful to me. How does CrossFit compare with just weightlifting to get fit? | I would rather be safe. Do the positives of Crossfit outweigh the negatives? | I’ve got four weeks. What about cardio for getting fit? | Okay. What role will diet play in getting fit? | What other meal frequencies can I try to boost my metabolism? | Which one’s better between eating six meals a day and intermittent fasting?,Okay. I would eventually like to spend time with my baby while working out too. Do you have any ideas for that?
168,I just watched the first Jurassic Park movie and I got interested in dinosaurs and their time on earth. Can you tell me about the time when dinosaurs actually existed?,,I just watched the Jurassic Park movie and I got interested in dinosaurs. Can you tell me about the time when dinosaurs actually existed?
169,Hmm. What else was characteristic about that era?,I just watched the Jurassic Park movie and I got interested in dinosaurs. Can you tell me about the time when dinosaurs actually existed?,Hmm. What else was characteristic about the Mesozoic Era asides the existence of Dinosaurs?
170,Can you tell me more about the fossil records and the theory?,I just watched the Jurassic Park movie and I got interested in dinosaurs. Can you tell me about the time when dinosaurs actually existed? | Hmm. What else was characteristic about the Mesozoic Era asides the existence of Dinosaurs?,Can you tell me more about the fossil records and the theory of plate tectonics?
171,What was it like during the time dinosaurs were on earth?,I just watched the Jurassic Park movie and I got interested in dinosaurs. Can you tell me about the time when dinosaurs actually existed? | Hmm. What else was characteristic about the Mesozoic Era asides the existence of Dinosaurs? | Can you tell me more about the fossil records and the theory of plate tectonics?,What was earth's landmass like during the Mesozoic era?
172,That's really cool. Could such a continent form again?,I just watched the Jurassic Park movie and I got interested in dinosaurs. Can you tell me about the time when dinosaurs actually existed? | Hmm. What else was characteristic about the Mesozoic Era asides the existence of Dinosaurs? | Can you tell me more about the fossil records and the theory of plate tectonics? | What was earth's landmass like during the Mesozoic era?,That's really cool. Could such a huge continent like Pangaea form again?
173,Okay. You mentioned three periods in the Dinosaur era. What was characteristic about the first one?,I just watched the Jurassic Park movie and I got interested in dinosaurs. Can you tell me about the time when dinosaurs actually existed? | Hmm. What else was characteristic about the Mesozoic Era asides the existence of Dinosaurs? | Can you tell me more about the fossil records and the theory of plate tectonics? | What was earth's landmass like during the Mesozoic era? | That's really cool. Could such a huge continent like Pangaea form again?,Okay. You mentioned three periods in the Mesosoic Era. What was characteristic about the Triassic Period?
174,What about the second?,I just watched the Jurassic Park movie and I got interested in dinosaurs. Can you tell me about the time when dinosaurs actually existed? | Hmm. What else was characteristic about the Mesozoic Era asides the existence of Dinosaurs? | Can you tell me more about the fossil records and the theory of plate tectonics? | What was earth's landmass like during the Mesozoic era? | That's really cool. Could such a huge continent like Pangaea form again? | Okay. You mentioned three periods in the Mesosoic Era. What was characteristic about the Triassic Period?,What was characteristic about the Jurassic Period?
175,And the last?,I just watched the Jurassic Park movie and I got interested in dinosaurs. Can you tell me about the time when dinosaurs actually existed? | Hmm. What else was characteristic about the Mesozoic Era asides the existence of Dinosaurs? | Can you tell me more about the fossil records and the theory of plate tectonics? | What was earth's landmass like during the Mesozoic era? | That's really cool. Could such a huge continent like Pangaea form again? | Okay. You mentioned three periods in the Mesosoic Era. What was characteristic about the Triassic Period? | What was characteristic about the Jurassic Period?,What was characteristic about the Cretaceous Period?
