,Target,Source
6,Is Adderall Speed?,"Query: Isn’t that speed? |||| Context: What is the NFL policy about steroids? ||| Adderall, an amphetamine most often prescribed for attention-deficit disorders, is banned by the NFL, Major League Baseball, the NBA, Major League Soccer, the NCAA and the U.S. Anti-Doping Agency. ||| That sounds easy to spot. How do athletes get away with using steroids? ||| “The athletes were instructed to swish the liquid around in their mouths, under the tongue, to absorb the drugs,” the Times writes. ||| Are there visible signs that someone is using steroids? |||  ||| Why are steroids banned in sports? |||  ||| Utterance: What were Ziegler’s improvements to the use of anabolic steroids in athletes? |||  ||| Utterance: What’s the history of steroid use in sports in the US? |||  |||| Reformulation: "
7,What is the difference between the NFL’s recreational drug and performance enhancing drug policies?,"Query: What is the difference between the two policies? |||| Context: Is Adderall Speed? ||| Last September, the Denver Post wrote about how the NFL deals with adderall, a commonly prescribed drug that treats attention deficit hyperactivity disorder, but one that also causes feelings of exhilaration, increased energy and mental alertness when used in a non-prescribed manner. ||| What is the NFL policy about steroids? ||| Adderall, an amphetamine most often prescribed for attention-deficit disorders, is banned by the NFL, Major League Baseball, the NBA, Major League Soccer, the NCAA and the U.S. Anti-Doping Agency. ||| That sounds easy to spot. How do athletes get away with using steroids? |||  ||| Are there visible signs that someone is using steroids? |||  ||| Why are steroids banned in sports? |||  ||| Utterance: What were Ziegler’s improvements to the use of anabolic steroids in athletes? |||  ||| Utterance: What’s the history of steroid use in sports in the US? |||  |||| Reformulation: "
8,I heard it even affects card players. Didn't the game of bridge also have a problem with drug use?,"Query: I heard it even affects card players. Didn't bridge also have a problem? |||| Context: What is the difference between the NFL’s recreational drug and performance enhancing drug policies? ||| Miller issued a denial on Twitter, saying: The NFL Players Association was not pleased that the information leaked out and George Atallah, the NFLPA’s assistant executive director of external affairs, tweeted today: If Miller fails to win on appeal, the Broncos would open the season against the Baltimore Ravens without two of their key defensive players. ||| Is Adderall Speed? ||| Last September, the Denver Post wrote about how the NFL deals with adderall, a commonly prescribed drug that treats attention deficit hyperactivity disorder, but one that also causes feelings of exhilaration, increased energy and mental alertness when used in a non-prescribed manner. ||| What is the NFL policy about steroids? |||  ||| That sounds easy to spot. How do athletes get away with using steroids? |||  ||| Are there visible signs that someone is using steroids? |||  ||| Why are steroids banned in sp |||| Reformulation: "
9,I know what bridge is. I heard there was a drug scandal in bridge recently.,"Query: I know what bridge is. I heard there was a drug scandal recently. |||| Context: I heard it even affects card players. Didn't the game of bridge also have a problem with drug use? ||| Millions of people play bridge worldwide in clubs, tournaments, online and with friends at home, making it one of the world's most popular card games, particularly among seniors. ||| What is the difference between the NFL’s recreational drug and performance enhancing drug policies? ||| Miller issued a denial on Twitter, saying: The NFL Players Association was not pleased that the information leaked out and George Atallah, the NFLPA’s assistant executive director of external affairs, tweeted today: If Miller fails to win on appeal, the Broncos would open the season against the Baltimore Ravens without two of their key defensive players. ||| Is Adderall Speed? |||  ||| What is the NFL policy about steroids? |||  ||| That sounds easy to spot. How do athletes get away with using steroids? |||  ||| Are there visible signs that someone is using steroids? |||  ||| Why are steroids banned in  |||| Reformulation: "
10,Tell me more about the suspension of Geir Helgemo for doping by the World Bridge Federation.,"Query: Does the article have more about it? |||| Context: I know what bridge is. I heard there was a drug scandal in bridge recently. ||| But you would be wrong thinking that because the world’s top-ranked bridge player just got himself suspended for doping. ||| I heard it even affects card players. Didn't the game of bridge also have a problem with drug use? ||| Millions of people play bridge worldwide in clubs, tournaments, online and with friends at home, making it one of the world's most popular card games, particularly among seniors. ||| What is the difference between the NFL’s recreational drug and performance enhancing drug policies? |||  ||| Is Adderall Speed? |||  ||| What is the NFL policy about steroids? |||  ||| That sounds easy to spot. How do athletes get away with using steroids? |||  ||| Are there visible signs that someone is using steroids? |||  ||| Why are steroids banned in sports? |||  ||| Utterance: What were Ziegler’s improvements to the use of anabolic steroids in athletes? |||  ||| Utterance: What’s the history of ste |||| Reformulation: "
0,How do genes work?,Query: How do genes work? |||| Context:  |||| Reformulation: 
1,What diseases besides sickle cell anemia are caused by single change in a gene?,"Query: What other diseases are caused by a single change? |||| Context: How do genes work? ||| However, some diseases, such as sickle cell anemia, can be caused by a change in a single gene. |||| Reformulation: "
2,What are the other types of human genetic diseases besides monogenic?,"Query: What are the other types of diseases? |||| Context: What diseases besides sickle cell anemia are caused by single change in a gene? ||| The four types of (human) Genetic diseases are:1) ||| How do genes work? ||| However, some diseases, such as sickle cell anemia, can be caused by a change in a single gene. |||| Reformulation: "
3,You missed the second type of genetic disease.  What was that?,Query: You missed the second type of disease.  What was that? |||| Context: What are the other types of human genetic diseases besides monogenic? ||| 3) Chromosomal Genetic Diseases: Chromosomes are big DNA molecules composed from genes. ||| What diseases besides sickle cell anemia are caused by single change in a gene? ||| The four types of (human) Genetic diseases are:1) ||| How do genes work? |||  |||| Reformulation: 
4,That’s not what I wanted. How about recent developments in gene therapy to treat chromosome defects that cause Down Syndrome?,"Query: That’s not what I wanted. How about recent developments in gene therapy to treat those defects? |||| Context: You missed the second type of genetic disease.  What was that? ||| Many chromosome errors cause the fetus to be aborted before birth, but some syndromes can be born and survive, though all typically suffer severe mental and physical defects. ||| What are the other types of human genetic diseases besides monogenic? ||| 3) Chromosomal Genetic Diseases: Chromosomes are big DNA molecules composed from genes. ||| What diseases besides sickle cell anemia are caused by single change in a gene? |||  ||| How do genes work? |||  |||| Reformulation: "
5,What long-term effects are researchers worried about with CRISPR editing in human germ-line cells?,"Query: What are they worried about? |||| Context: That’s not what I wanted. How about recent developments in gene therapy to treat chromosome defects that cause Down Syndrome? ||| Many ­researchers say they worry about unintended consequences with long-term effects. ||| You missed the second type of genetic disease.  What was that? ||| Many chromosome errors cause the fetus to be aborted before birth, but some syndromes can be born and survive, though all typically suffer severe mental and physical defects. ||| What are the other types of human genetic diseases besides monogenic? |||  ||| What diseases besides sickle cell anemia are caused by single change in a gene? |||  ||| How do genes work? |||  |||| Reformulation: "
6,"No, What long-term effects are researchers worried about with CRISPR editing in human germ-line cells?","Query: No, I meant in humans. |||| Context: What long-term effects are researchers worried about with CRISPR editing in human germ-line cells? ||| With CRISPR, the California researchers added a set of genes conferring malaria resistance to their mutant mosquitoes, as well as a powerful tool called a “gene drive” that guarantees that all of the mosquitoes’ descendants would inherit their resistance. ||| That’s not what I wanted. How about recent developments in gene therapy to treat chromosome defects that cause Down Syndrome? ||| Many ­researchers say they worry about unintended consequences with long-term effects. ||| You missed the second type of genetic disease.  What was that? |||  ||| What are the other types of human genetic diseases besides monogenic? |||  ||| What diseases besides sickle cell anemia are caused by single change in a gene? |||  ||| How do genes work? |||  |||| Reformulation: "
7,"It sounds like it could be used in many places. What types of organisms besides humans, mosquitos, mice, and microbes has gene editing been tried on?","Query: It sounds like it could be used in many places. What other types of organisms has it been tried on? |||| Context: No, What long-term effects are researchers worried about with CRISPR editing in human germ-line cells? ||| While the ethical and regulatory focus of concern has been on “designer babies” or threats to the human germline, the high risk of unintended consequences also applies to editing the genes of other life forms, from mice and mosquitos to microbes. ||| What long-term effects are researchers worried about with CRISPR editing in human germ-line cells? ||| With CRISPR, the California researchers added a set of genes conferring malaria resistance to their mutant mosquitoes, as well as a powerful tool called a “gene drive” that guarantees that all of the mosquitoes’ descendants would inherit their resistance. ||| That’s not what I wanted. How about recent developments in gene therapy to treat chromosome defects that cause Down Syndrome? |||  ||| You missed the second type of genetic disease.  What was that? |||  ||| What are the other types of human genetic diseases besides monogenic? || |||| Reformulation: "
8,I’ve heard a lot about RNA recently. Can CRISPR be used to edit RNA?,"Query: I’ve heard a lot about RNA recently. Can it be used to edit that too? |||| Context: It sounds like it could be used in many places. What types of organisms besides humans, mosquitos, mice, and microbes has gene editing been tried on? ||| Several groups have now taken advantage of this method to introduce single point mutations (deletions or insertions) in a particular target gene, via a single g RNA (14, 21, 29). ||| No, What long-term effects are researchers worried about with CRISPR editing in human germ-line cells? ||| While the ethical and regulatory focus of concern has been on “designer babies” or threats to the human germline, the high risk of unintended consequences also applies to editing the genes of other life forms, from mice and mosquitos to microbes. ||| What long-term effects are researchers worried about with CRISPR editing in human germ-line cells? |||  ||| That’s not what I wanted. How about recent developments in gene therapy to treat chromosome defects that cause Down Syndrome? |||  ||| You missed the second type of genetic disease.  What was that? |||| Reformulation: "
9,What’s the difference between the CRISPR CRISPRi and CAS13b systems?,"Query: What’s the difference between the types you mentioned? |||| Context: I’ve heard a lot about RNA recently. Can CRISPR be used to edit RNA? ||| (as opposed to the commonly used type II) can target and edit specific RNA sequences. ||| It sounds like it could be used in many places. What types of organisms besides humans, mosquitos, mice, and microbes has gene editing been tried on? ||| Several groups have now taken advantage of this method to introduce single point mutations (deletions or insertions) in a particular target gene, via a single g RNA (14, 21, 29). ||| No, What long-term effects are researchers worried about with CRISPR editing in human germ-line cells? |||  ||| What long-term effects are researchers worried about with CRISPR editing in human germ-line cells? |||  ||| That’s not what I wanted. How about recent developments in gene therapy to treat chromosome defects that cause Down Syndrome? |||  ||| You missed the second type of genetic disease.  What was that? |||  ||| What are the other types of human genetic diseases besides monogenic? ||| |||| Reformulation: "
10,"That’s too basic, I’d like a more scientific explanation. What’s the difference between the CRISPR-CAS9 and CRISPR-CAS13 systems?","Query: That’s too basic, I’d like a more scientific explanation. |||| Context: What’s the difference between the CRISPR CRISPRi and CAS13b systems? ||| And they’re often explained in a way that most folks can understand. ||| I’ve heard a lot about RNA recently. Can CRISPR be used to edit RNA? ||| (as opposed to the commonly used type II) can target and edit specific RNA sequences. ||| It sounds like it could be used in many places. What types of organisms besides humans, mosquitos, mice, and microbes has gene editing been tried on? |||  ||| No, What long-term effects are researchers worried about with CRISPR editing in human germ-line cells? |||  ||| What long-term effects are researchers worried about with CRISPR editing in human germ-line cells? |||  ||| That’s not what I wanted. How about recent developments in gene therapy to treat chromosome defects that cause Down Syndrome? |||  ||| You missed the second type of genetic disease.  What was that? |||  ||| What are the other types of human genetic diseases besides monogenic? |||  ||| What diseases besides sick |||| Reformulation: "
11,The developments sound exciting. What are the commercial issues using CRISPR for genetic diseases?,"Query: The developments sound exciting. What are the commercial issues using it? |||| Context: That’s too basic, I’d like a more scientific explanation. What’s the difference between the CRISPR-CAS9 and CRISPR-CAS13 systems? ||| As Dr. Charis Himeda of the University of Massachusetts Medical School told me in a conversation, this technique is a “non-cutting version of CRISPR” that involves the dCas9 protein rather than the Cas9 protein. ||| What’s the difference between the CRISPR CRISPRi and CAS13b systems? ||| And they’re often explained in a way that most folks can understand. ||| I’ve heard a lot about RNA recently. Can CRISPR be used to edit RNA? |||  ||| It sounds like it could be used in many places. What types of organisms besides humans, mosquitos, mice, and microbes has gene editing been tried on? |||  ||| No, What long-term effects are researchers worried about with CRISPR editing in human germ-line cells? |||  ||| What long-term effects are researchers worried about with CRISPR editing in human germ-line cells? |||  ||| That’s not what I wanted. How about recent deve |||| Reformulation: "
12,What are the alternatives to CRISPR-CAS9 to avoid patent licensing issues?,"Query: What are the alternatives to avoid licensing issues? |||| Context: The developments sound exciting. What are the commercial issues using CRISPR for genetic diseases? ||| , patent rights to CRISPR were contested. ||| That’s too basic, I’d like a more scientific explanation. What’s the difference between the CRISPR-CAS9 and CRISPR-CAS13 systems? ||| As Dr. Charis Himeda of the University of Massachusetts Medical School told me in a conversation, this technique is a “non-cutting version of CRISPR” that involves the dCas9 protein rather than the Cas9 protein. ||| What’s the difference between the CRISPR CRISPRi and CAS13b systems? |||  ||| I’ve heard a lot about RNA recently. Can CRISPR be used to edit RNA? |||  ||| It sounds like it could be used in many places. What types of organisms besides humans, mosquitos, mice, and microbes has gene editing been tried on? |||  ||| No, What long-term effects are researchers worried about with CRISPR editing in human germ-line cells? |||  ||| What long-term effects are researchers worried about with CRISPR editing i |||| Reformulation: "
0,I’m a runner and I’ve been feeling tired. My doctor said my ferritin count is slightly low. What should I do next?,Query: I’m a runner and I’ve been feeling tired. My doctor said my ferritin count is slightly low. What should I do next? |||| Context:  |||| Reformulation: 
1,"How about my diet, what should I consider changing to increase my iron?","Query: How about my diet, what should I consider changing? |||| Context: I’m a runner and I’ve been feeling tired. My doctor said my ferritin count is slightly low. What should I do next? ||| “For someone going through these types of situations, the first thing I would ask is about their sleep, nutrition, iron, etc. |||| Reformulation: "
2,"No, I meant what should I consider changing in my diet to help my ferritin levels specifically.","Query: No, I meant to help my ferritin specifically. |||| Context: How about my diet, what should I consider changing to increase my iron? |||  ||| I’m a runner and I’ve been feeling tired. My doctor said my ferritin count is slightly low. What should I do next? ||| “For someone going through these types of situations, the first thing I would ask is about their sleep, nutrition, iron, etc. |||| Reformulation: "
3,What is the difference between heme and non-heme iron?,"Query: What is the difference between the two types? |||| Context: No, I meant what should I consider changing in my diet to help my ferritin levels specifically. ||| There are two forms of iron – animal foods contain heme iron, while plants contain non-heme iron. ||| How about my diet, what should I consider changing to increase my iron? |||  ||| I’m a runner and I’ve been feeling tired. My doctor said my ferritin count is slightly low. What should I do next? |||  |||| Reformulation: "
4,I’m vegetarian. What can I do to improve absorption for non-heme iron and increase my level of ferritin?,"Query: I’m vegetarian. So, what can I do to improve it and increase my levels? |||| Context: What is the difference between heme and non-heme iron? ||| What is the differences between heme iron and nonheme iron?• ||| No, I meant what should I consider changing in my diet to help my ferritin levels specifically. ||| There are two forms of iron – animal foods contain heme iron, while plants contain non-heme iron. ||| How about my diet, what should I consider changing to increase my iron? |||  ||| I’m a runner and I’ve been feeling tired. My doctor said my ferritin count is slightly low. What should I do next? |||  |||| Reformulation: "
5,I heard eating eggs might help improve my ferritin levels.,"Query: I heard eating eggs might help. |||| Context: I’m vegetarian. What can I do to improve absorption for non-heme iron and increase my level of ferritin? ||| What have you done to increase your ferritin levels? ||| What is the difference between heme and non-heme iron? ||| What is the differences between heme iron and nonheme iron?• ||| No, I meant what should I consider changing in my diet to help my ferritin levels specifically. |||  ||| How about my diet, what should I consider changing to increase my iron? |||  ||| I’m a runner and I’ve been feeling tired. My doctor said my ferritin count is slightly low. What should I do next? |||  |||| Reformulation: "
6,I’m a female vegetarian runner over 50. How many eggs do I need to eat to get the recommended amount of iron in my diet?,"Query: I’m also a woman over 50. How many do I need to eat to get the recommended amount? |||| Context: I heard eating eggs might help improve my ferritin levels. ||| This is great news if you’re trying to lose weight as it means you may find it easier to cut calories without feeling hungry. ||| I’m vegetarian. What can I do to improve absorption for non-heme iron and increase my level of ferritin? ||| What have you done to increase your ferritin levels? ||| What is the difference between heme and non-heme iron? |||  ||| No, I meant what should I consider changing in my diet to help my ferritin levels specifically. |||  ||| How about my diet, what should I consider changing to increase my iron? |||  ||| I’m a runner and I’ve been feeling tired. My doctor said my ferritin count is slightly low. What should I do next? |||  |||| Reformulation: "
7,"I’m starting to train for a marathon, what should I consider in my vegetarian diet?","Query: I’m starting to train for a marathon, what should I consider? |||| Context: I’m a female vegetarian runner over 50. How many eggs do I need to eat to get the recommended amount of iron in my diet? ||| Kinds of Minerals Hard-boiled egg whites contain several minerals, just not in large amounts. ||| I heard eating eggs might help improve my ferritin levels. ||| This is great news if you’re trying to lose weight as it means you may find it easier to cut calories without feeling hungry. ||| I’m vegetarian. What can I do to improve absorption for non-heme iron and increase my level of ferritin? |||  ||| What is the difference between heme and non-heme iron? |||  ||| No, I meant what should I consider changing in my diet to help my ferritin levels specifically. |||  ||| How about my diet, what should I consider changing to increase my iron? |||  ||| I’m a runner and I’ve been feeling tired. My doctor said my ferritin count is slightly low. What should I do next? |||  |||| Reformulation: "
8,"No, I’m starting to train for a marathon, what is a one week vegetarian diet?","Query: No, I’m starting to train for a marathon, what is a one week diet? |||| Context: I’m starting to train for a marathon, what should I consider in my vegetarian diet? ||| “It’s always the first question,” says Torre Washington, a bodybuilder who has been following a vegan diet for 18 years, laughing. ||| I’m a female vegetarian runner over 50. How many eggs do I need to eat to get the recommended amount of iron in my diet? ||| Kinds of Minerals Hard-boiled egg whites contain several minerals, just not in large amounts. ||| I heard eating eggs might help improve my ferritin levels. |||  ||| I’m vegetarian. What can I do to improve absorption for non-heme iron and increase my level of ferritin? |||  ||| What is the difference between heme and non-heme iron? |||  ||| No, I meant what should I consider changing in my diet to help my ferritin levels specifically. |||  ||| How about my diet, what should I consider changing to increase my iron? |||  ||| I’m a runner and I’ve been feeling tired. My doctor said my ferritin count is slightly low. What should I do next? |||  |||| Reformulation: "
0,How are mental health disorders perceived and addressed around the world?,Query: How are mental health disorders perceived and addressed around the world? |||| Context:  |||| Reformulation: 
1,What are the causes of mental health stigma in Africa?,"Query: What are the causes of stigma in Africa? |||| Context: How are mental health disorders perceived and addressed around the world? ||| However, the authors note that these figures likely underestimate the extent of stigma associated with mental illness since they only evaluated data on anxiety and mood disorders. |||| Reformulation: "
2,Could you expand on some of these Southeast African traditional and cultural methods of dealing with mental health issues?,"Query: Could you expand on some of these methods? |||| Context: What are the causes of mental health stigma in Africa? ||| According to Vikram Patel, a global mental health expert and professor at the London School of Hygiene and Tropical Medicine, the stigmatization of mental illness is due to traditional and cultural methods of dealing with these situations and can only be changed through improved support, education, and greater awareness. ||| How are mental health disorders perceived and addressed around the world? ||| However, the authors note that these figures likely underestimate the extent of stigma associated with mental illness since they only evaluated data on anxiety and mood disorders. |||| Reformulation: "
3,How effective are traditional African methods for treating mental health issues and could they be combined with Western medicine?,"Query: How effective are these methods and could they be combined with Western medicine? |||| Context: Could you expand on some of these Southeast African traditional and cultural methods of dealing with mental health issues? ||| In other parts of South Africa it is used to cure bronchitis, headaches, labour pains and hypertension. ||| What are the causes of mental health stigma in Africa? ||| According to Vikram Patel, a global mental health expert and professor at the London School of Hygiene and Tropical Medicine, the stigmatization of mental illness is due to traditional and cultural methods of dealing with these situations and can only be changed through improved support, education, and greater awareness. ||| How are mental health disorders perceived and addressed around the world? |||  |||| Reformulation: "
4,"Okay. Now, what about the causes of mental health stigma in Asia?","Query: Okay. Now, what about the causes in Asia? |||| Context: How effective are traditional African methods for treating mental health issues and could they be combined with Western medicine? ||| African Traditional Medicine still plays a large role in African society. ||| Could you expand on some of these Southeast African traditional and cultural methods of dealing with mental health issues? ||| In other parts of South Africa it is used to cure bronchitis, headaches, labour pains and hypertension. ||| What are the causes of mental health stigma in Africa? |||  ||| How are mental health disorders perceived and addressed around the world? |||  |||| Reformulation: "
5,Is there a relationship between Asian cultural values and mental illness?,"Query: Is there a relationship between these values and mental illness in the region? |||| Context: Okay. Now, what about the causes of mental health stigma in Asia? ||| People with mental health challenges sometimes experience stigma. ||| How effective are traditional African methods for treating mental health issues and could they be combined with Western medicine? ||| African Traditional Medicine still plays a large role in African society. ||| Could you expand on some of these Southeast African traditional and cultural methods of dealing with mental health issues? |||  ||| What are the causes of mental health stigma in Africa? |||  ||| How are mental health disorders perceived and addressed around the world? |||  |||| Reformulation: "
6,"Wow. Besides Asian cultural values, what other factors could cause stigmatization of mental illness in the region of Asia?","Query: Wow. Besides these values, what other factors could cause stigmatization? |||| Context: Is there a relationship between Asian cultural values and mental illness? ||| In Vietnamese culture, mystical beliefs explain physical and mental illness. ||| Okay. Now, what about the causes of mental health stigma in Asia? ||| People with mental health challenges sometimes experience stigma. ||| How effective are traditional African methods for treating mental health issues and could they be combined with Western medicine? |||  ||| Could you expand on some of these Southeast African traditional and cultural methods of dealing with mental health issues? |||  ||| What are the causes of mental health stigma in Africa? |||  ||| How are mental health disorders perceived and addressed around the world? |||  |||| Reformulation: "
7,What about the causes of mental health stigmatisation in North America?,"Query: What about the causes in North America? |||| Context: Wow. Besides Asian cultural values, what other factors could cause stigmatization of mental illness in the region of Asia? ||| However, the stigmatization of mental illness can be influenced by other factors, such as the perceived cause of the illness. ||| Is there a relationship between Asian cultural values and mental illness? ||| In Vietnamese culture, mystical beliefs explain physical and mental illness. ||| Okay. Now, what about the causes of mental health stigma in Asia? |||  ||| How effective are traditional African methods for treating mental health issues and could they be combined with Western medicine? |||  ||| Could you expand on some of these Southeast African traditional and cultural methods of dealing with mental health issues? |||  ||| What are the causes of mental health stigma in Africa? |||  ||| How are mental health disorders perceived and addressed around the world? |||  |||| Reformulation: "
8,Hmm. What has the National Alliance on Mental Illness done to help people with mental illness in America?,"Query: Hmm. What has the Alliance done to help? |||| Context: What about the causes of mental health stigmatisation in North America? ||| It spreads unjustified fears about the mentally ill and worsens the stigma around it. ||| Wow. Besides Asian cultural values, what other factors could cause stigmatization of mental illness in the region of Asia? ||| However, the stigmatization of mental illness can be influenced by other factors, such as the perceived cause of the illness. ||| Is there a relationship between Asian cultural values and mental illness? |||  ||| Okay. Now, what about the causes of mental health stigma in Asia? |||  ||| How effective are traditional African methods for treating mental health issues and could they be combined with Western medicine? |||  ||| Could you expand on some of these Southeast African traditional and cultural methods of dealing with mental health issues? |||  ||| What are the causes of mental health stigma in Africa? |||  ||| How are mental health disorders perceived and addressed around the world? |||  |||| Reformulation: "
9,I found the Indian student's approach to treating depression through social support and spiritual reflection or relaxation interesting. Have their approaches been tried elsewhere?,"Query: I found the Indian student's approach to treating depression interesting. Have their approaches been tried elsewhere? |||| Context: Hmm. What has the National Alliance on Mental Illness done to help people with mental illness in America? ||| The course explains the physical nature of mental illness, describes current medications and treatments, and provides practical techniques for effective communication between caregivers and people with mental illness. ||| What about the causes of mental health stigmatisation in North America? ||| It spreads unjustified fears about the mentally ill and worsens the stigma around it. ||| Wow. Besides Asian cultural values, what other factors could cause stigmatization of mental illness in the region of Asia? |||  ||| Is there a relationship between Asian cultural values and mental illness? |||  ||| Okay. Now, what about the causes of mental health stigma in Asia? |||  ||| How effective are traditional African methods for treating mental health issues and could they be combined with Western medicine? |||  ||| Could you expand on some of these Southeast African traditional and cultu |||| Reformulation: "
10,Can you tell me more about Chibanda's approach to treating mental illness? How effective has it been?,"Query: Can you tell me more about Chibanda's approach? How effective has it been? |||| Context: I found the Indian student's approach to treating depression through social support and spiritual reflection or relaxation interesting. Have their approaches been tried elsewhere? ||| To address both, Chibanda stripped mental health care down to basic human connection. ||| Hmm. What has the National Alliance on Mental Illness done to help people with mental illness in America? ||| The course explains the physical nature of mental illness, describes current medications and treatments, and provides practical techniques for effective communication between caregivers and people with mental illness. ||| What about the causes of mental health stigmatisation in North America? |||  ||| Wow. Besides Asian cultural values, what other factors could cause stigmatization of mental illness in the region of Asia? |||  ||| Is there a relationship between Asian cultural values and mental illness? |||  ||| Okay. Now, what about the causes of mental health stigma in Asia? |||  ||| How effective are tradi |||| Reformulation: "
0,How are literary devices used in Biblical poetry?,Query: How are literary devices used in Biblical poetry? |||| Context:  |||| Reformulation: 
1,That's interesting. How is Christian poetry defined?,"Query: That's interesting. How is it defined? |||| Context: How are literary devices used in Biblical poetry? ||| A fuller appreciation of the formal literary virtues of Biblical poetry remained unavailable for European Christians until 1754, when Robert Lowth (later made a bishop in the Church of England), kinder to the Hebrew language than his own, published ""Praelectiones Academicae de Sacra Poesi Hebraeorum"", which identified parallelism as the chief rhetorical device within Hebrew poetry. |||| Reformulation: "
2,How did the existing traditions of Greek and Latin poetry affect Christian Poets?,"Query: How did those traditions affect them? |||| Context: That's interesting. How is Christian poetry defined? ||| Within the world of classical antiquity, Christian poets often struggled with their relationship to the existing traditions of Greek and Latin poetry, which were of course heavily influenced by paganism. ||| How are literary devices used in Biblical poetry? ||| A fuller appreciation of the formal literary virtues of Biblical poetry remained unavailable for European Christians until 1754, when Robert Lowth (later made a bishop in the Church of England), kinder to the Hebrew language than his own, published ""Praelectiones Academicae de Sacra Poesi Hebraeorum"", which identified parallelism as the chief rhetorical device within Hebrew poetry. |||| Reformulation: "
3,That's interesting about Christianity. How are literary devices used in Islamic poetry?,"Query: That's interesting about Christianity. How are devices used in Islamic ones? |||| Context: How did the existing traditions of Greek and Latin poetry affect Christian Poets? ||| Other early Christian poets were more innovative. ||| That's interesting. How is Christian poetry defined? ||| Within the world of classical antiquity, Christian poets often struggled with their relationship to the existing traditions of Greek and Latin poetry, which were of course heavily influenced by paganism. ||| How are literary devices used in Biblical poetry? |||  |||| Reformulation: "
4,Okay. How does the use of rhyme in Biblical poetry compare to the use of rhyme in Islamic poetry?,Query: Okay. How does the use of rhyme in Biblical poetry compare? |||| Context: That's interesting about Christianity. How are literary devices used in Islamic poetry? ||| Islamic poetry Islamic poetry is poetry written by Muslims. ||| How did the existing traditions of Greek and Latin poetry affect Christian Poets? ||| Other early Christian poets were more innovative. ||| That's interesting. How is Christian poetry defined? |||  ||| How are literary devices used in Biblical poetry? |||  |||| Reformulation: 
5,Why didn't Biblical poetry use rhymes as extensively as Arabic?,"Query: Why didn't it use rhymes as much? |||| Context: Okay. How does the use of rhyme in Biblical poetry compare to the use of rhyme in Islamic poetry? ||| The Arabs have always used rhymes extensively, most notably in their long, rhyming qasidas. ||| That's interesting about Christianity. How are literary devices used in Islamic poetry? ||| Islamic poetry Islamic poetry is poetry written by Muslims. ||| How did the existing traditions of Greek and Latin poetry affect Christian Poets? |||  ||| That's interesting. How is Christian poetry defined? |||  ||| How are literary devices used in Biblical poetry? |||  |||| Reformulation: "
6,"Ahh, it seems like rhyming and parallelism share similar functions. How did Islamic and Biblical poetry influence other kinds of poetry?","Query: Ahh, it seems like rhyming and parallelism share similar functions. How did both types of poetry influence other kinds of poetry? |||| Context: Why didn't Biblical poetry use rhymes as extensively as Arabic? ||| The chief device of ancient Hebrew Biblical poetry, including many of the psalms, was ""parallelism"", a rhetorical structure in which successive lines reflected each other in grammatical structure, sound structure, notional content, or all three. ||| Okay. How does the use of rhyme in Biblical poetry compare to the use of rhyme in Islamic poetry? ||| The Arabs have always used rhymes extensively, most notably in their long, rhyming qasidas. ||| That's interesting about Christianity. How are literary devices used in Islamic poetry? |||  ||| How did the existing traditions of Greek and Latin poetry affect Christian Poets? |||  ||| That's interesting. How is Christian poetry defined? |||  ||| How are literary devices used in Biblical poetry? |||  |||| Reformulation: "
7,Did Biblical poetry have a similar impact on other kinds of religious poetry?,"Query: Did Biblical poetry have a similar impact? |||| Context: Ahh, it seems like rhyming and parallelism share similar functions. How did Islamic and Biblical poetry influence other kinds of poetry? ||| ""Maqama"" also influenced the medieval Hebrew literature, a significant amount of which was produced by Jews of the Muslim world. ||| Why didn't Biblical poetry use rhymes as extensively as Arabic? ||| The chief device of ancient Hebrew Biblical poetry, including many of the psalms, was ""parallelism"", a rhetorical structure in which successive lines reflected each other in grammatical structure, sound structure, notional content, or all three. ||| Okay. How does the use of rhyme in Biblical poetry compare to the use of rhyme in Islamic poetry? |||  ||| That's interesting about Christianity. How are literary devices used in Islamic poetry? |||  ||| How did the existing traditions of Greek and Latin poetry affect Christian Poets? |||  ||| That's interesting. How is Christian poetry defined? |||  ||| How are literary devices used in Biblical poetry? | |||| Reformulation: "
0,A friend said there were massive protests in Nigeria towards the end of 2020. What happened?,Query: A friend said there were massive protests in Nigeria towards the end of 2020. What happened? |||| Context:  |||| Reformulation: 
1,Why was the Special Anti-Robbery Squad (SARS) established in the first place?,Query: Why was the Squad established in the first place? |||| Context: A friend said there were massive protests in Nigeria towards the end of 2020. What happened? ||| Nigerians continue to protest. |||| Reformulation: 
2,What's an example of the reasons why (Special Anti-Robbery Squad) SARS officers detain people?,"Query: What's an example of those reasons? |||| Context: Why was the Special Anti-Robbery Squad (SARS) established in the first place? ||| SARS formed in 1992 to combat armed robbery with “the element of surprise,” founder Simeon Danladi Midenda told the Nigerian news site Vanguard. ||| A friend said there were massive protests in Nigeria towards the end of 2020. What happened? ||| Nigerians continue to protest. |||| Reformulation: "
